order_id,customer_id,email_id,phone,signup_date,preferred_channel
11092023-ELEC-001,CUST_001,aarav.sharma@mail.com,7166793897,16-10-2024,Email
24032023-OFFC-111,CUST_003,riya.patel@mail.com,8302515470,25-04-2023,SMS
19082023-FASH-002,CUST_005,arjun.verma@mail.com,8547007029,26-01-2023,App
10072023-KITC-112,CUST_007,ananya.reddy@mail.com,9306751466,09-10-2023,App
07032023-HOME-003,CUST_009,vihaan.kapoor@mail.com,7545720763,08-09-2023,SMS
12032023-GARD-113,CUST_011,isha.mehta@mail.com,8402956388,17-08-2023,SMS
13122023-GROC-004,CUST_013,rohan.nair@mail.com,9243017696,23-05-2023,App
01092024-PETS-114,CUST_015,diya.malhotra@mail.com,8166267963,15-04-2023,App
22012023-TOYS-005,CUST_017,kabir.joshi@mail.com,7926944235,23-11-2024,SMS
11032023-MOBL-115,CUST_019,meera.singh@mail.com,9675294212,12-07-2024,App
25082024-SPORT-006,CUST_021,aditya.bansal@mail.com,8963938918,31-03-2023,Email
22112024-COMP-116,CUST_023,kavya.iyer@mail.com,7366564547,27-08-2024,Email
21072024-BOOK-007,CUST_025,rahul.chopra@mail.com,7221971308,08-03-2024,SMS
29082023-GAME-117,CUST_027,pooja.desai@mail.com,7834855903,02-02-2023,SMS
24082023-BEAU-008,CUST_029,siddharth.gupta@mail.com,9282150771,31-01-2023,SMS
18022024-MUSC-118,CUST_031,neha.kulkarni@mail.com,8766751581,06-04-2023,Email
25082024-AUTO-009,CUST_033,varun.khanna@mail.com,9322010158,12-08-2023,App
03052023-JEWL-119,CUST_035,tanvi.pillai@mail.com,9737740598,27-08-2023,Email
14082023-MEDI-010,CUST_037,akash.shetty@mail.com,7594221991,01-06-2024,App
06082024-BABY-120,CUST_039,shruti.mishra@mail.com,7570137231,08-09-2024,Email
08012023-OFFC-011,CUST_041,naman.sinha@mail.com,9217493115,28-01-2023,App
10092023-ELEC-121,CUST_043,kriti.saxena@mail.com,8387087517,28-07-2024,Email
